id,text,classification,model_ai,prompt,created_at,updated_at,investment_target
19370,"Dividendos do SNFF11 rendem mais de 1% ao mês; veja o valor. O SNFF11 confirmou a distribuição de R$ 0,72 por cota em 25 de agosto de 2025, mantendo o mesmo valor pelo 11º mês consecutivo, com direito para quem tinha cotas até 15 de agosto. Em junho, o fundo teve resultado distribuível de R$ 0,68 por cota, utilizou parte da reserva acumulada de R$ 0,49 por cota e registrou retorno mensal de 1,0416%, com R$ 8,92 distribuídos nos últimos 12 meses. O desempenho patrimonial de junho foi de 0,60%, com receitas de FIIs, ações e renda fixa somando R$ 3,1 milhões, compensadas parcialmente por uma perda contábil de R$ 245 mil, e cerca de 9% do portfólio alocado em fundos de desenvolvimento.",POSITIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:37,,GENERICO
19371,"Fundo imobiliário SNME11 vai pagar dividendos que rendem 1,15%; saiba o valor. O SNME11 manterá a distribuição de R$ 0,11 por cota em agosto, com pagamento em 25 de agosto aos cotistas posicionados até 15 de agosto, representando retorno mensal de cerca de 1,15%. Nos últimos 12 meses, o fundo acumulou R$ 1,285 por cota em proventos e mantém esse patamar de dividendos pelo sétimo mês consecutivo. Em junho, o desempenho patrimonial foi de 2,00%, impulsionado principalmente pela carteira de FIIs e pela alocação em CRIs.",POSITIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:39,,GENERICO
19372,"IFIX tem primeira alta semanal desde julho; BBIG11 lidera altas. O IFIX avançou 0,34% no pregão de 15 de agosto de 2025, fechando em 3.431,40 pontos e acumulando a mesma alta na semana. Foi a primeira semana com resultado positivo desde 4 de julho, apesar de o índice ainda registrar queda acumulada de 1,83% após 30 pregões. No dia, o BBIG11 liderou as altas com valorização de 2,93% após aumento patrimonial, enquanto o CCME11 teve a maior queda, de 1,60%.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:40,,GENERICO
19373,"BTLG11 divulga novos dividendos para agosto; confira o valor. O fundo imobiliário BTLG11 distribuirá R$ 0,78 por cota em dividendos em agosto, com pagamento em 25/08, mantendo o valor pelo oitavo mês. O fundo registrou lucro líquido de R$ 31,418 milhões em junho e obteve um reajuste de 31% no aluguel de um ativo em Jundiaí após revisão contratual. Atualmente, o BTLG11 possui 34 imóveis, com 90% da área total em São Paulo, e apresenta uma vacância financeira baixa de 1,9%.",POSITIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:41,,GENERICO
19374,"HGRU11 tem lucro acima de R$ 18 milhões e amplia dividendos; saiba mais. O fundo imobiliário HGRU11 registrou receita total de R$ 23,992 milhões e lucro de R$ 18,6 milhões em julho. A gestão fixou a nova política de distribuição de dividendos em R$ 0,95 por cota, visando estabilidade com receitas de vendas e entradas extraordinárias. A taxa de vacância do fundo se manteve em 0,8%, e a gestão iniciou revisões contratuais com o grupo DMA para reequilibrar os valores de locação.",POSITIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:42,,GENERICO
19375,"MXRF11 paga dividendos acima do CDI e VGIR11 anuncia maior rendimento da história; veja as mais lidas da semana. O MXRF11 lucrou R$ 44,97 milhões em junho e pagará R$ 0,10 por cota em dividendos, superando o CDI. O VGIR11 anunciou dividendos recordes de R$ 0,14 por cota para agosto, e o CPTS11 pagará R$ 0,086 por cota no mesmo mês. O XPML11 projeta captação de R$ 347 milhões e os FIIs HGFF11 e BPFF11 serão incorporados pelo RVBI11 após 18 de agosto.",POSITIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:43,,GENERICO
19376,"VISC11 desembolsa R$  7 milhões e amplia propriedade em shopping. O fundo imobiliário VISC11 concluiu a aquisição de mais 25% do Shopping Paralela, em Salvador, por R$ 121,9 milhões, após desembolso de R$ 7,1 milhões. Com isso, o VISC11 passou a deter 36,26% do shopping e pagará duas parcelas de R$ 57,4 milhões corrigidas pelo IPCA. A gestora Vinci projeta um dividend yield médio de 12,4% para o segundo ano após a quitação total da aquisição.",POSITIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:44,,GENERICO
19377,"SNCI11 anuncia novos dividendos para agosto; confira valor e data de pagamento. O fundo imobiliário SNCI11 anunciou dividendos de R$ 1,00 por cota para pagamento em 25 de agosto, mantendo o valor pela 14ª vez consecutiva. O rendimento está dentro do guidance de R$ 1,00 a R$ 1,10 por cota para o terceiro trimestre de 2025. Em junho, o fundo adquiriu R$ 8,9 milhões em três CRIs, elevando a alavancagem líquida para 16,92% do patrimônio líquido.",POSITIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:45,,GENERICO
19378,"Lula sobre empresas saindo do Brasil: “Quem quiser sair, que saia”. O presidente Lula comemorou a chegada de empresas chinesas ao Brasil, como a GWM, em oposição à saída da Ford e da Mercedes-Benz. Durante a inauguração da fábrica da GWM em Iracemápolis, Lula pediu que a montadora use o Brasil como base para vendas na América Latina. As declarações ocorrem em meio ao desgaste das relações com os EUA, que impuseram tarifa de 50% sobre produtos brasileiros. Lula minimizou a ""turbulência"" com os EUA e destacou que a China tem o dobro do comércio com o Brasil.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:47,,GENERICO
19379,"BTG Pactual (BPAC11) salta 11% e Raízen (RAIZ4) é a ação com pior desempenho; veja os destaques do Ibovespa na semana. O Ibovespa registrou sua segunda semana de alta, valorizando 0,31% e fechando a 136 mil pontos, enquanto o dólar caiu 0,70%, terminando a R$ 5,3980. O governo federal anunciou um plano de contingência para mitigar o impacto das tarifas dos EUA, incluindo R$ 30 bilhões em crédito e até R$ 5 bilhões em créditos tributários para exportadores. O IPCA de julho subiu 0,26%, abaixo do esperado, e o mercado externo consolidou a expectativa de corte de juros pelo Fed em setembro. O BTG Pactual (BPAC11) liderou os ganhos com lucro recorde no 2T25 de R$ 4,2 bilhões, e a Raízen (RAIZ4) encabeçou as perdas devido ao aumento de sua alavancagem para 4,5x.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:48,,GENERICO
